Number	Voltage	Counts	Time
1	900	27	30
2	900	27	30
3	900	26	30
4	900	34	30
5	900	36	30
6	900	42	30
7	900	18	30
8	900	42	30
9	900	36	30
10	900	27	30
11	900	29	30
12	900	29	30
13	900	40	30
14	900	15	30
15	900	33	30
16	900	39	30
17	900	31	30
18	900	31	30
19	900	34	30
20	900	35	30
