Number	Voltage	Counts	Time
1	700	1493	10
2	720	1912	10
3	740	2070	10
4	760	2215	10
5	780	2319	10
6	800	2332	10
7	820	2351	10
8	840	2407	10
9	860	2408	10
10	880	2592	10
11	900	2567	10
12	920	2575	10
13	940	2639	10
14	960	2602	10
15	980	2557	10
16	1000	2622	10
17	1020	2663	10
18	1040	2657	10
19	1060	2663	10
20	1080	2723	10
21	1100	2887	10
22	1120	3108	10
23	1140	3352	10
24	1160	4336	10
25	1180	5475	10
26	1200	7635	10
