Number	Voltage	Counts	Time
1	900	2576	10
2	900	2645	10
3	900	2665	10
4	900	2699	10
5	900	2706	10
6	900	2706	10
7	900	2627	10
8	900	2704	10
9	900	2743	10
10	900	2722	10
